n_collects,ansys_per_collect_s,mine_amortized_per_collect_s,mine_cheaper
1,6754.493999999999,40053.964,False
2,6754.493999999999,20053.964,False
3,6754.493999999999,13387.297333333334,False
5,6754.493999999999,8053.964,False
5.969677025548727,6754.493999999999,6754.493999999999,False
10,6754.493999999999,4053.964,True
20,6754.493999999999,2053.964,True
50,6754.493999999999,853.9639999999999,True
100,6754.493999999999,453.964,True
200,6754.493999999999,253.964,True
500,6754.493999999999,133.964,True
1000,6754.493999999999,93.964,True
5000,6754.493999999999,61.964,True
10000,6754.493999999999,57.964,True
