n_pulses,n_collects,ansys_dense_total_s,asc_worstcase_total_s,asc_cheaper
1,0.002,1.5019999999999998,40000.012,False
10,0.02,15.019999999999998,40000.12,False
50,0.1,75.1,40000.6,False
100,0.2,150.2,40001.2,False
500,1.0,750.9999999999999,40006.0,False
1000,2.0,1501.9999999999998,40012.0,False
5000,10.0,7509.999999999999,40060.0,False
10000,20.0,15019.999999999998,40120.0,False
20000,40.0,30039.999999999996,40240.0,False
26846,53.692,40322.691999999995,40322.152,True
40000,80.0,60079.99999999999,40480.0,True
60000,120.0,90119.99999999999,40720.0,True
80000,160.0,120159.99999999999,40960.0,True
100000,200.0,150199.99999999997,41200.0,True
